address,count,first,last,perc,cumulative,cumulative_perc,label
0x180ba8f73897c0cb26d76265fc7868cfd936e617,10828,4209671,5310742,0.07,13807519,94.77,
0xf466ec23d841922abc3b0056f929a3d7c8b91814,10795,359990,948043,0.07,13818314,94.84,genesismining
0x2f731c3e8cd264371ffdb635d07c14a6303df52a,10687,11686180,13093327,0.07,13829001,94.91,
0x7d6dabd6b5c75291a3258c29b418f5805792a875,10253,9960433,11622104,0.07,13839254,94.98,
0xd757fd54b273bb1234d4d9993f27699d28d0edd2,9983,13376798,14569990,0.07,13849237,95.05,kucoinpool
0x6cafe7473925998db07a497ac3fd10405637a46d,9688,1250470,3198999,0.07,13858925,95.12,miningpoolhub
0x433022c4066558e7a32d850f02d2da5ca782174d,9330,6111212,14569587,0.06,13868255,95.18,k1pool
0xe4bdced60430a90f31dba03524dd5d15a2670649,9294,4305911,6391867,0.06,13877549,95.25,xnpool
0x8b4de256180cfec54c436a470af50f9ee2813dbb,9232,13440209,14569979,0.06,13886781,95.31,sbicryptopool
0x30b6ef1ea77dc4e114c6a7865869b932503f4e6d,8717,1195926,3731467,0.06,13895498,95.37,
0x463f3bc8186c43b449c8b31dc9a89e6ea8439202,8315,2685108,3685647,0.06,13903813,95.43,
0x2a0eee948fbe9bd4b661adedba57425f753ea0f6,8244,11235680,13433907,0.06,13912057,95.48,
0xf35074bbd0a9aee46f4ea137971feec024ab704e,8084,5375030,14568975,0.06,13920141,95.54,solopool
0x4069e799da927c06b430e247b2ee16c03e8b837d,7994,13184834,14569747,0.05,13928135,95.59,666miningpool
0x1b5b5906306c96b842dc03105e3b38636a4eda0b,7685,7404254,7848246,0.05,13935820,95.65,huobipool
0x6b7d50bb8fab584e54251a10e1c6cfa51dd7b618,7485,4626215,5690609,0.05,13943305,95.7,pandapool
0x90e4be5cd24970a87e23e281f3ad40a89558b433,7343,4243674,4323107,0.05,13950648,95.75,
0xa4aaf1d8dca32196f26c157a690a85c71b387f0d,7333,2909516,4285311,0.05,13957981,95.8,
0x7a1458f33122080819a2483f2a16034cd8cb0b95,7221,1248719,3198984,0.05,13965202,95.85,
0x64dc5acba24d6f6eff6781ac4fecec79c091ad02,7098,9960108,11129976,0.05,13972300,95.9,
0x88d74a59454f6cf3b51ef6b9136afb6b9d405a88,6688,6244,232742,0.05,13978988,95.94,
0xa855c20a1351acd2690c716e2709c7dff3978d12,6667,6079731,9020348,0.05,13985655,95.99,antpool
0x1b50e8779040b182cc2322079144d225b0361b75,6663,11229622,12072175,0.05,13992318,96.04,
0x249bdb4499bd7c683664c149276c1d86108e2137,6573,6436529,14564663,0.05,13998891,96.08,cruxpool
0xc93452a74e596e81e4f73ca1acff532089ad4c62,6030,13422020,14569635,0.04,14004921,96.12,
0xd8ddb0070aee305fc05be67ecab7e2979e940404,5940,472691,1176095,0.04,14010861,96.16,
0xd3d038bcb4f2450c592381f8bb4bee860532ee9d,5819,1453828,2612504,0.04,14016680,96.2,
0x9d551f41fed6fc27b719777c224dfecce170004d,5809,104393,841430,0.04,14022489,96.24,ethereumpool
0x9746c7e1ef2bd21ff3997fa467593a89cb852bd0,5755,14967,643321,0.04,14028244,96.28,
0xe9b54a47e3f401d37798fc4e22f14b78475c2afc,5627,9336464,13179378,0.04,14033871,96.32,
0x7777788200b672a42421017f65ede4fc759564c8,5586,9951103,14569479,0.04,14039457,96.36,krptexmining
